,Unnamed: 0,No.,Email address,Gender,Last Name,First Name,Smoking,Alchohol,Uni,Nationality,School,Major,Habit,Roommate
59,59,59,vaibhavr4@gmail.com,male,Rangarajan,Vaibhav,no,yes,rv5933,Germany,CBS,Civil Engineering,Early Bird,Yes
60,60,60,elattp@gmail.com,male,Sethuraman,Elavazhagan,yes,no,se5427,Saint Vincent and the Grenadines,JTS,Electrical Engineering,Early Bird,Yes
61,61,61,amoghshejwal17@gmail.com,female,Shejwal,Amogh,no,yes,sa2850,San Marino,Arts,Political Science,Early Bird,Yes
62,62,62,animeshmane@gmail.com,male,Mane,Animesh,no,no,ma6174,Qatar,CJS,Environmental Biology and Evolutionary Biology of the Human Species,Night Owl,Yes
63,63,63,sinha.tsinha@gmail.com,male,Sinha,Tanmay,no,yes,st3137,Reunion,CLS,French,Night Owl,Yes
64,64,64,paarthkotak@gmail.com,male,Kotak,Paarth,yes,no,kp6099,Hungary,GSAPP,Mechanical Engineering,Early Bird,Yes
65,65,65,kavya.bhagya.prakash@gmail.com,female,PRAKASH,KAVYA,no,no,pk7809,Jersey,VCPS,Industrial Engineering & Operations Research,Early Bird,Yes
66,66,66,shweta.tatiya291@gmail.com,male,Tatiya,Shweta,no,no,ts8385,Dominica,GSAPP,Comparative Literature & Society,Early Bird,Yes
67,67,67,19akashyadav19@gmail.com,male,Yadav,Akash,yes,no,ya4051,Bangladesh,Nursing,Political Science,Early Bird,Yes
68,68,68,vishnu.vizz@gmail.com,male,Prasad,Vishnu,yes,yes,pv6648,Colombia,CLS,Biology,Early Bird,Yes
69,69,69,jain21.nupur@gmail.com,male,jain,Nupur,yes,no,jn2775,Thailand,JTS,"Middle Eastern, South Asian, African Studies",Night Owl,Yes
70,70,70,urvimaru20.um@gmail.com,female,Rakesh,Urvi,no,yes,ru7835,Isle of Man,SEAS,Political Science,Early Bird,Yes
71,71,71,karthik.charlie@gmail.com,male,keshava,karthik,no,no,kk8840,Guinea,SIPA,Sustainable Development,Early Bird,Yes
72,72,72,chetan.mj4u@gmail.com,female,M,Chetan,no,yes,mc7429,Bolivia,JTS,Biology,Night Owl,Yes
73,73,73,bhatia.aks@huaky.neu.edu,male,Bhatia,Akshat,yes,no,ba3713,United Arab Emirates,SPS,Chemistry,Night Owl,Yes
74,74,74,akshthakkar0696@gmail.com,male,Thakkar,Aksh,no,no,ta3517,Philippines,CJS,Earth & Environmental Engineering,Early Bird,Yes
75,75,75,alaymehta12@gmail.com,male,Mehta,Alay,no,no,ma6155,Madagascar,Nursing,Art History,Night Owl,Yes
76,76,76,punithnarayan.mr@gmail.com,male,Narayanaswamy,Punith,no,yes,np4499,Svalbard,JTS,"Applied Physics & Applied Mathematics, with Materials Science and Engineeringoption>",Night Owl,Yes
77,77,77,sanchitchavan777@gmail.com,female,vilas,sanchit,yes,no,vs5658,Namibia,GSAPP,Film & Media Studies,Early Bird,Yes
78,78,78,cvvijaybalaji@gmail.com,male,Richard,Vijayaballaji,no,yes,rv5160,Benin,TC,Biology,Early Bird,Yes
79,79,79,shalabh.jiit35@gmail.com,male,MITTAL,SHALABH,no,yes,ms2444,Burkina Faso,JTS,Art History,Night Owl,Yes
80,80,80,pavithran38@pec.edu,male,Ramachandran,Pavithran,no,no,rp2307,Tromelin Island,Medicine,"Applied Physics & Applied Mathematics, with Materials Science and Engineeringoption>",Night Owl,Yes
81,81,81,anubhuti.vyas.28@gmail.com,male,Vyas,Anubhuti,yes,yes,va8630,Nauru,SGS,Film & Media Studies,Early Bird,Yes
82,82,82,apurva.a.landge@gmail.com,male,Avinash,Apurva,yes,no,aa3102,Panama,CCS,American Studies,Early Bird,Yes
83,83,83,neelambari.verma@gmail.com,male,Verma,Neelambari,yes,no,vn5940,United Kingdom,GSAS,French,Early Bird,Yes
84,84,84,shahaanchal94@gmail.com,male,shah,Aanchal,no,yes,sa8070,Costa Rica,VCPS,Chemical Engineering,Night Owl,Yes
85,85,85,hiralvora9513@gmail.com,male,Vora,Hiral,yes,yes,vh8287,Libya,BC,Mechanical Engineering,Early Bird,Yes
86,86,86,athreyaabhijith@gmail.com,male,Athreya,Abhijith,yes,yes,aa6216,Iceland,Arts,Computer Science,Night Owl,Yes
87,87,87,jhalak.gupta4@gmail.com,female,Gupta,Jhalak,no,yes,gj3943,Europa Island,Medicine,Art History,Early Bird,Yes
88,88,88,kavithasivakumar1207@gmail.com,male,Sivakumar,Kavitha,yes,yes,sk7938,Benin,SEAS,Industrial Engineering & Operations Research,Early Bird,Yes
89,89,89,abhidiptosengupta90@gmail.com,female,Sengupta,Abhidipto,yes,yes,sa7548,Hungary,VCPS,Mechanical Engineering,Night Owl,Yes
90,90,90,shlok.gandhi@gmail.com,male,A,Shlok,no,no,as1353,Austria,SSW,English,Night Owl,Yes
91,91,91,roshanpshajan@gmail.com,male,P,Roshan,no,no,pr2060,Saint Pierre and Miquelon,CLS,Economics,Early Bird,Yes
92,92,92,ash9505@gmail.com,male,Ramesh,Ashwinvignesh,no,yes,ra6044,Tuvalu,UTS,Political Science,Night Owl,Yes
93,93,93,chiragshivnani@gmail.com,female,shivnani,Chirag,no,yes,sc1454,Kazakhstan,SGS,"Middle Eastern, South Asian, African Studies",Early Bird,Yes
94,94,94,shekhawat.s@husky.neu.edu,male,Shekhawat,Shefali,no,no,ss1087,Turkmenistan,CCS,Mathematics,Early Bird,Yes
95,95,95,rtrahultyagi@gmail.com,female,tyagi,Rahul,yes,yes,tr1026,Bahamas,CCS,Art History,Early Bird,Yes
96,96,96,taashipriya12@gmail.com,male,Priya,Taashi,no,no,pt9739,Guam,VCPS,Computer Science,Night Owl,Yes
97,97,97,rajashreenaik14@gmail.com,female,Naik,Rajashree,yes,yes,nr1858,Algeria,GSAPP,Computer Science,Night Owl,Yes
98,98,98,anubhav.gupzz10@gmail.com,male,Gupta,Anubhav,yes,yes,ga5333,Finland,UTS,Human Rights,Early Bird,Yes
99,99,99,senapatitanmay@gmail.com,female,Senapati,Tanmay,yes,yes,st6179,Sweden,VCPS,Anthropology,Night Owl,Yes
100,100,100,manojvenkatesan93@gmail.com,female,venkatesan,Manoj,no,no,vm2978,Azerbaijan,GSAS,Computer Science,Early Bird,Yes
101,101,101,darshan95jain@gmail.con,female,jain,Darshan,yes,no,jd5161,Lebanon,GSAS,Earth & Environmental Engineering,Night Owl,Yes
102,102,102,montyhps@gmail.com,male,yashasvi,Sai,yes,yes,ys4367,Portugal,VCPS,Modern Languages,Night Owl,Yes
103,103,103,pradeepagopinath19@gmail.com,female,Gopinath,Pradeepa,no,no,gp6728,Gambia,GSAPP,Biology,Night Owl,Yes
104,104,104,sameerdesai592@gmail.com,male,Asheley,Sameer,yes,yes,as7370,Guinea-Bissau,SSW,Anthropology,Night Owl,Yes
105,105,105,eswaran.santhosh@gmail.com,male,Eswaran,Santhosh,yes,no,es7770,United States,CC,Chemistry,Early Bird,Yes
106,106,106,mm19932007@gmail.com,male,Asheley,Monica,yes,yes,am8280,Sao Tome and Principe,UTS,Creative Writing,Early Bird,Yes
107,107,107,prasadchelsea33@gmail.com,male,Madhale,Prasad,no,yes,mp6485,Azerbaijan,MSPH,Comparative Literature & Society,Night Owl,Yes
108,108,108,harshithgc@gmail.com,male,Gowli,Harshith,yes,yes,gh5321,Latvia,CLS,Electrical Engineering,Night Owl,Yes
109,109,109,vinyasktr@gmail.com,female,kaushik,Vinyas,no,yes,kv5549,Bosnia and Herzegovina,SPS,Chemical Engineering,Early Bird,Yes
110,110,110,ravi.kri14@gmail.com,male,Krishnan,Ravi,yes,yes,kr6135,Germany,CLS,Computer Science,Early Bird,Yes
111,111,111,pallav.j.choudhary@gmail.com,female,Choudhary,Pallav,no,no,cp5416,Honduras,Medicine,Biomedical Engineering,Night Owl,Yes
112,112,112,suyashnarkhede@gmail.com,female,Narkhede,Suyash,yes,no,ns6195,Estonia,SGS,Electrical Engineering,Night Owl,Yes
113,113,113,sahilgandhi94@gmail.com,male,Gandhi,Sahil,no,no,gs1838,Niger,SEAS,Civil Engineering,Early Bird,Yes
114,114,114,suwarna.mgm@gmail.com,female,Suwarna,K.,yes,no,sk3378,Guyana,SSW,Visual Arts,Night Owl,Yes
115,115,115,sarathchandra96@gmail.com,male,chandra,sarath,yes,no,cs8399,Uzbekistan,SIPA,Biochemistry,Night Owl,Yes
116,116,116,padhideepak89@gmail.com,male,Suryakant,Deepak,no,no,sd3920,Wallis and Futuna,SPS,"Middle Eastern, South Asian, African Studies",Night Owl,Yes
117,117,117,shi777shir@gmail.com,female,Kurhade,Shishir,no,no,ks3956,Moldova,CJS,Human Rights,Early Bird,Yes
118,118,118,i@ishanpatel.in,male,Patel,Ishan,yes,yes,pi3826,Antigua and Barbuda,SSW,Chemistry,Early Bird,Yes
119,119,119,sohamsheth1995@gmail.com,female,Sheth,Soham,yes,yes,ss2636,Cameroon,CCS,Mathematics,Night Owl,Yes
120,120,120,jdoshi1995@gmail.com,male,Doshi,Jay,yes,yes,dj7578,Burkina Faso,UTS,Biology,Night Owl,Yes
121,121,121,sharayu6018@gmail.com,male,Asheley,Sharayu,no,no,as5839,Kyrgyzstan,GSAS,Business Management,Night Owl,Yes
122,122,122,namrata_ghag94@yahoo.com,female,Ghag,Namrata,no,yes,gn1120,Albania,MSPH,Earth & Environmental Engineering,Early Bird,Yes
123,123,123,sohamsheth1995@gmail.com,male,Sheth,Soham,yes,no,ss7594,Timor-Leste,Nursing,Economics,Early Bird,Yes
124,124,124,rishabmalik121@gmail.com,female,Asheley,Rishab,no,yes,ar9487,South Korea,GSAPP,Mechanical Engineering,Night Owl,Yes
125,125,125,tejasmunot94@gmail.com,male,Munot,Tejas,no,no,mt9305,Eritrea,SPS,American Studies,Night Owl,Yes
126,126,126,rahulmotan01@gmail.com,male,Motan,Rahul,no,no,mr6305,Netherlands,CBS,Environmental Biology and Evolutionary Biology of the Human Species,Early Bird,Yes
127,127,127,dhrumil2494@gmail.com,female,Sanjay,Dhrumil,yes,no,sd2742,Namibia,UTS,Chemical Engineering,Night Owl,Yes
128,128,128,sangeethac2505@gmail.com,male,Chandrashekar,Sangeetha,no,no,cs9764,Juan de Nova Island,VCPS,History,Early Bird,Yes
129,129,129,krrishmittal15@gmail.com,female,Mittal,Krrish,yes,yes,mk6355,Sri Lanka,SSW,Biomedical Engineering,Early Bird,Yes
130,130,130,davekartik24@gmail.com,male,Dave,Kartik,yes,no,dk3942,Isle of Man,GSAS,Environmental Biology and Evolutionary Biology of the Human Species,Night Owl,Yes
131,131,131,jhansinair@gmail.com,male,Nair,Jhansi,yes,yes,nj2489,Trinidad and Tobago,GSAPP,Comparative Literature & Society,Night Owl,Yes
132,132,132,soumyadeep.sinha2011@gmail.com,male,sinha,Soumyadeep,yes,no,ss6088,Poland,TC,"Applied Physics & Applied Mathematics, with Materials Science and Engineeringoption>",Early Bird,Yes
133,133,133,shardik95@gmail.com,male,Shah,Hardik,yes,no,sh4146,Senegal,VCPS,Industrial Engineering & Operations Research,Night Owl,Yes
134,134,134,sanjanapanicker12@gmail.com,female,Panicker,Sanjana,yes,no,ps4658,Togo,JTS,East Asian Studies,Early Bird,Yes
135,135,135,neha91192@gmail.com,female,Asheley,Neha,no,yes,an3460,Cayman Islands,Medicine,History,Early Bird,Yes
136,136,136,mscivilvishalshah@gmail.com,male,Shah,Vishal,no,yes,sv4994,Armenia,CLS,Chemistry,Early Bird,Yes
137,137,137,aashish.thyagarajan@gmail.com,male,Thyagarajan,Aashish,no,no,ta7936,Kyrgyzstan,GSAS,French,Night Owl,Yes
138,138,138,tejasparab890@gmail.com,male,Parab,Tejas,yes,no,pt2928,Russia,Arts,English,Night Owl,Yes
139,139,139,rishi.chopra25@gmail.com,female,Chopra,Rishi,yes,yes,cr2457,Bhutan,SPS,"Middle Eastern, South Asian, African Studies",Night Owl,Yes
140,140,140,pbhargavi65@gmail.com,female,Nilesh,Bhargavi,no,no,nb7160,American Samoa,Arts,Chemistry,Early Bird,Yes
141,141,141,kevalshah10694@gmail.com,male,shah,keval,yes,yes,sk3539,Micronesia,TC,Biology,Early Bird,Yes
142,142,142,akhil.d26@gmail.com,male,Hegde,Akhilesh,yes,yes,ha4913,Laos,CLS,Comparative Literature & Society,Night Owl,Yes
143,143,143,ganla.utkarsha@gmail.com,female,Ganla,Utkarsha,yes,no,gu1379,Central African Republic,GSAS,Psychology,Night Owl,Yes
144,144,144,kousthub93@gmail.com,male,B,Kousthubh,yes,yes,bk9719,Seychelles,SIPA,American Studies,Early Bird,Yes
145,145,145,vikas.gupta@ves.ac.in,female,Gupta,Vikas,yes,yes,gv4354,Mayotte,CLS,Psychology,Early Bird,Yes
146,146,146,rachna_reddy93@yahoo.in,male,Reddy,Rachna,yes,yes,rr9006,Barbados,JTS,Economics,Night Owl,Yes
147,147,147,suhamurali93@gmail.com,female,Murali,Suhasini,yes,yes,ms9492,South Africa,VCPS,Sociology,Night Owl,Yes
148,148,148,shashwat.j.shetty@gmail.com,male,Shetty,Shashwat,no,yes,ss1568,Norway,SPS,Chemical Engineering,Early Bird,Yes
149,149,149,akshdeep.r@gmail.com,male,Rungta,Akshdeep,no,no,ra2245,Comoros,GSAPP,Biology,Night Owl,Yes
150,150,150,varsharaom@gmail.com,male,Rao,Varsha,yes,yes,rv1150,France,Medicine,Sociology,Night Owl,Yes
151,151,151,mavishalsurya@yahoo.in,male,surya,Vishal,no,no,sv2214,Gibraltar,SPS,Anthropology,Early Bird,Yes
152,152,152,sumedhkulkarni7@gmail.com,female,Kulkarni,Sumedh,no,no,ks7880,Poland,SPS,Electrical Engineering,Night Owl,Yes
153,153,153,mansi.kulkarni29@gmail.com,female,kulkarni,Mansi,no,yes,km3506,Tokelau,SPS,Modern Languages,Early Bird,Yes
154,154,154,manishpatilandroid@gmail.com,male,Patil,Manish,no,yes,pm2629,Uruguay,JTS,"Applied Physics & Applied Mathematics, with Materials Science and Engineeringoption>",Early Bird,Yes
155,155,155,modianvi@gmail.com,male,Modi,Anvi,yes,no,ma1586,United States,CJS,American Studies,Early Bird,Yes
156,156,156,ashwinigiri06@gmail.com,female,Giri,Ashwini,no,yes,ga5675,Niger,SPS,Mechanical Engineering,Early Bird,Yes
157,157,157,work.nishchayshah@gmail.com,male,Shah,Nishchay,no,yes,sn4465,Central African Republic,Arts,Comparative Literature & Society,Early Bird,Yes
158,158,158,haritaprakash16@gmail.com,female,Prakash,Harita,yes,no,ph4246,Sri Lanka,JTS,Biology,Early Bird,Yes
159,159,159,gaurav.chattarki@gmail.com,male,Raj,Gaurav,yes,yes,rg9380,Zimbabwe,JTS,Computer Science,Early Bird,Yes
160,160,160,deep.mehta29492@gmail.com,female,Mehta,Deep,yes,yes,md5182,Chad,MSPH,American Studies,Night Owl,Yes
161,161,161,kspatil007@gmail.com,female,Patil,Kunal,yes,yes,pk9912,Isle of Man,JTS,Anthropology,Night Owl,Yes
162,162,162,ramprakash.94@gmail.com,male,Prakash,Ram,yes,yes,pr8166,Palau,UTS,Political Science,Night Owl,Yes
163,163,163,bagdadi_kashif@yahoo.co.in,female,Bagdadi,Kashif,no,yes,bk6546,Glorioso Islands,SPS,English,Early Bird,Yes
164,164,164,kritesh.nie@gmail.com,female,Ritesh,Kumar,no,yes,rk6036,Paraguay,SEAS,Industrial Engineering & Operations Research,Night Owl,Yes
165,165,165,harshrp2511@gmail.com,female,Rajesh,Harsh,yes,no,rh9351,Azerbaijan,JTS,French,Night Owl,Yes
166,166,166,harshrp2511@gmail.com,male,Rajesh,Harsh,no,no,rh6454,Bolivia,GSAPP,Sustainable Development,Night Owl,Yes
167,167,167,koltesanket1@gmail.com,male,Kolte,Sanket,no,yes,ks2140,Guatemala,Nursing,Chemistry,Night Owl,Yes
168,168,168,mitisha6@gmail.com,female,Ganesha,Mitisha,no,no,gm6527,Denmark,CLS,Comparative Literature & Society,Night Owl,Yes
169,169,169,mail.varun09@gmail.com,female,Himmatramka,Varun,yes,no,hv9148,North Korea,UTS,History,Night Owl,Yes
170,170,170,rohsan7@gmail.com,female,Taori,Rohan,yes,no,tr7485,Reunion,GSAPP,Creative Writing,Night Owl,Yes
171,171,171,swagathdeepu@gmail.com,male,V,Swagath,no,yes,vs3493,Saint Pierre and Miquelon,Arts,Sociology,Night Owl,Yes
172,172,172,vigneshiyer1991@gmail.com,female,Raghuraman,Vignesh,no,yes,rv7935,Nicaragua,TC,Business Management,Early Bird,Yes
173,173,173,krups057@gmail.com,female,Sundararajan,Krupashankar,yes,yes,sk9573,Panama,Arts,French,Night Owl,Yes
174,174,174,himanshu.saraswat01@gmail.com,male,Saraswat,Himanshu,no,yes,sh2899,Mayotte,SIPA,Biochemistry,Night Owl,Yes
175,175,175,ashishsinghal1995@gmail.com,female,Singhal,Ashish,no,no,sa8187,Cuba,GSAS,Film & Media Studies,Early Bird,Yes
176,176,176,gaurangdavda@yaboo.in,male,Davda,Gaurang,yes,no,dg2187,Navassa Island,MSPH,Civil Engineering,Night Owl,Yes
177,177,177,venkataramananbj@gmail.com,male,BJ,Venkataramanan,no,no,bv5676,Saint Lucia,SGS,Chemistry,Night Owl,Yes
178,178,178,gautampratyaksh@gmail.com,female,Gautam,Pratyaksh,yes,no,gp4375,Ecuador,CJS,Business Management,Night Owl,Yes
179,179,179,ashmeet.pahwa7@gmail.com,male,Singh,Ashmeet,no,yes,sa4359,Kazakhstan,SGS,Biology,Early Bird,Yes
180,180,180,murtazahaji2@gmail.com,male,Haji,Murtaza,no,yes,hm2753,Guam,SEAS,Modern Languages,Night Owl,Yes
181,181,181,advaitjoshi27@gmail.com,female,Joshi,Adwait,no,yes,ja8764,Philippines,SPS,Music,Early Bird,Yes
182,182,182,aatish333@gmail.com,male,Shah,Aatish,no,yes,sa9313,Argentina,BC,Electrical Engineering,Night Owl,Yes
183,183,183,suyashnarkhede@gmail.com,female,Narkhede,Suyash,yes,yes,ns5842,Philippines,Arts,Civil Engineering,Night Owl,Yes
184,184,184,aniruddha11me010@gmail.com,male,K,Aniruddha,no,no,ka9207,Kyrgyzstan,MSPH,Visual Arts,Early Bird,Yes
185,185,185,namratha.nagendra.rao@gmail.com,female,R,Namratha,no,yes,rn7832,Lithuania,CLS,American Studies,Early Bird,Yes
186,186,186,rasalkar.s@husky.neu.edu,male,Richard,Sthitapradyna,no,yes,rs5970,Nauru,SEAS,Sociology,Early Bird,Yes
187,187,187,rahulzzore@gmail.com,female,Zore,Rahul,yes,yes,zr1910,Yemen,Nursing,Neuroscience & Behavior,Night Owl,Yes
188,188,188,kapur.anu@husky.neu.edu,female,Kapur,Anuj,yes,no,ka1027,Laos,CJS,Human Rights,Early Bird,Yes
189,189,189,ajjanabhilash@gmail.com,female,Ajjan,Abhilash,no,no,aa4998,Mauritania,SEAS,Neuroscience & Behavior,Night Owl,Yes
190,190,190,karishmalad19@gmail.com,male,Lad,Karishma,yes,yes,lk1791,Saint Kitts and Nevis,SSW,Political Science,Night Owl,Yes
191,191,191,aditya11.joshi@gmail.com,female,Joshi,Aditya,yes,no,ja8982,Algeria,GSAS,Computer Science,Night Owl,Yes
192,192,192,shubhi04@gmail.com,male,Sharma,Shubhi,yes,no,ss1484,Thailand,SSW,Political Science,Night Owl,Yes
