No,Full Name,Email address,Gender,Last Name,First Name,Smoking,Alchohol,Uni,Nationality,School,Major,Habit,Roommate
40,Ninad Kanetkar,kanetkar.ninad@gmail.com,,,,,,,,,,,Yes
41,Prasanna Kumar Challa,prasannakumarch7@gmail.com,,,,,,,,,,,Yes
42,Sagar,savarkarsagar27@gmail.com,,,,,,,,,,,Yes
43,Saurabh,kulkarnisaurabh95@gmail.com,,,,,,,,,,,Yes
44,Aman Mankar,amanmankar11@gmail.com,,,,,,,,,,,Yes
45,Anup Srivastava,anupsrivastava67@gmail.com,,,,,,,,,,,Yes
46,ganesh surada,ganeshsurada29@gmail.com,,,,,,,,,,,Yes
47,Naman Bhargava,bhargvnaman@gmail.com,,,,,,,,,,,Yes
48,Vikas Singh,vrs1211@hotmail.com,,,,,,,,,,,Yes
49,Prashant Reddy,prashantreddy069@gmail.com,,,,,,,,,,,Yes
50,Poojith Shankar Shetty,poojithshtt@gmail.com,,,,,,,,,,,Yes
51,Prashant Reddy,prashantreddy069@gmail.com,,,,,,,,,,,Yes
52,Vipul Sharma,vipulsharma018@gmail.com,,,,,,,,,,,Yes
53,Aparna,aparnasharma285@gmail.com,,,,,,,,,,,Yes
54,Nishit Ajmera ,nishitajmera9@gmail.com,,,,,,,,,,,Yes
55,Sumanth,withsumanth@gmail.com,,,,,,,,,,,Yes
56,Karan Tyagi,karantyagi11karantyagi11@gmail.com,,,,,,,,,,,Yes
57,Prashant singh,ps5579611@gmail.com,,,,,,,,,,,Yes
58,Santhosh Eswaran,eswaran.santhosh@gmail.com,,,,,,,,,,,Yes
59,Vaibhav Rangarajan,vaibhavr4@gmail.com,,,,,,,,,,,Yes
60,Elavazhagan Sethuraman,elattp@gmail.com,,,,,,,,,,,Yes
61,Amogh Shejwal,amoghshejwal17@gmail.com,,,,,,,,,,,Yes
62,Animesh Mane,animeshmane@gmail.com,,,,,,,,,,,Yes
63,Tanmay Sinha,sinha.tsinha@gmail.com,,,,,,,,,,,Yes
64,Paarth Kotak,paarthkotak@gmail.com,,,,,,,,,,,Yes
65,KAVYA PRAKASH ,kavya.bhagya.prakash@gmail.com,,,,,,,,,,,Yes
66,Shweta Tatiya,shweta.tatiya291@gmail.com,,,,,,,,,,,Yes
67,Akash Yadav,19akashyadav19@gmail.com,,,,,,,,,,,Yes
68,Vishnu Prasad Maruthi,vishnu.vizz@gmail.com,,,,,,,,,,,Yes
69,Nupur jain,jain21.nupur@gmail.com,,,,,,,,,,,Yes
70,Urvi Rakesh Maru,urvimaru20.um@gmail.com,,,,,,,,,,,Yes
71,karthik keshava,karthik.charlie@gmail.com,,,,,,,,,,,Yes
72,Chetan M Jadhav,chetan.mj4u@gmail.com,,,,,,,,,,,Yes
73,Akshat Bhatia ,bhatia.aks@huaky.neu.edu,,,,,,,,,,,Yes
74,Aksh Thakkar,akshthakkar0696@gmail.com,,,,,,,,,,,Yes
75,Alay Mehta ,alaymehta12@gmail.com,,,,,,,,,,,Yes
76,Punith Narayanaswamy,punithnarayan.mr@gmail.com,,,,,,,,,,,Yes
77,sanchit vilas chavan,sanchitchavan777@gmail.com,,,,,,,,,,,Yes
78,Vijayaballaji ,cvvijaybalaji@gmail.com,,,,,,,,,,,Yes
79,SHALABH MITTAL,shalabh.jiit35@gmail.com,,,,,,,,,,,Yes
80,Pavithran Ramachandran,pavithran38@pec.edu,,,,,,,,,,,Yes
81,Anubhuti Vyas,anubhuti.vyas.28@gmail.com,,,,,,,,,,,Yes
82,Apurva Avinash Landge ,apurva.a.landge@gmail.com,,,,,,,,,,,Yes
83,Neelambari Verma,neelambari.verma@gmail.com,,,,,,,,,,,Yes
84,Aanchal shah,shahaanchal94@gmail.com,,,,,,,,,,,Yes
85,Hiral Vora,hiralvora9513@gmail.com,,,,,,,,,,,Yes
86,Abhijith Athreya,athreyaabhijith@gmail.com,,,,,,,,,,,Yes
87,Jhalak Gupta,jhalak.gupta4@gmail.com,,,,,,,,,,,Yes
88,Kavitha Sivakumar,kavithasivakumar1207@gmail.com,,,,,,,,,,,Yes
89,Abhidipto Sengupta,abhidiptosengupta90@gmail.com,,,,,,,,,,,Yes
90,Shlok A Gandhi,shlok.gandhi@gmail.com,,,,,,,,,,,Yes
91,Roshan P Shajan,roshanpshajan@gmail.com,,,,,,,,,,,Yes
92,Ashwinvignesh Ramesh,ash9505@gmail.com,,,,,,,,,,,Yes
93,Chirag shivnani,chiragshivnani@gmail.com,,,,,,,,,,,Yes
94,Shefali Shekhawat,shekhawat.s@husky.neu.edu,,,,,,,,,,,Yes
95,Rahul tyagi,rtrahultyagi@gmail.com,,,,,,,,,,,Yes
96,Taashi Priya Khurana,taashipriya12@gmail.com,,,,,,,,,,,Yes
97,Rajashree Naik,rajashreenaik14@gmail.com,,,,,,,,,,,Yes
98,Anubhav Gupta,anubhav.gupzz10@gmail.com,,,,,,,,,,,Yes
99,Tanmay Senapati,senapatitanmay@gmail.com,,,,,,,,,,,Yes
100,Manoj venkatesan,manojvenkatesan93@gmail.com,,,,,,,,,,,Yes
101,Darshan jain,darshan95jain@gmail.con,,,,,,,,,,,Yes
102,Sai yashasvi reddy,montyhps@gmail.com,,,,,,,,,,,Yes
103,Pradeepa Gopinath ,pradeepagopinath19@gmail.com,,,,,,,,,,,Yes
104,Sameer,sameerdesai592@gmail.com,,,,,,,,,,,Yes
105,Santhosh Eswaran,eswaran.santhosh@gmail.com,,,,,,,,,,,Yes
106,Monica,mm19932007@gmail.com,,,,,,,,,,,Yes
107,Prasad Madhale,prasadchelsea33@gmail.com,,,,,,,,,,,Yes
108,Harshith Gowli Chandrakumar,harshithgc@gmail.com,,,,,,,,,,,Yes
109,Vinyas kaushik,vinyasktr@gmail.com,,,,,,,,,,,Yes
110,Ravi Krishnan Iyer,ravi.kri14@gmail.com,,,,,,,,,,,Yes
111,Pallav Choudhary,pallav.j.choudhary@gmail.com,,,,,,,,,,,Yes
112,Suyash Narkhede,suyashnarkhede@gmail.com,,,,,,,,,,,Yes
113,Sahil Gandhi,sahilgandhi94@gmail.com,,,,,,,,,,,Yes
114,K. Suwarna,suwarna.mgm@gmail.com,,,,,,,,,,,Yes
115,sarath chandra alli,sarathchandra96@gmail.com,,,,,,,,,,,Yes
116,Deepak Suryakant Padhi,padhideepak89@gmail.com,,,,,,,,,,,Yes
117,Shishir Kurhade,shi777shir@gmail.com,,,,,,,,,,,Yes
118,Ishan Patel,i@ishanpatel.in,,,,,,,,,,,Yes
119,Soham Sheth,sohamsheth1995@gmail.com,,,,,,,,,,,Yes
120,Jay Doshi ,jdoshi1995@gmail.com,,,,,,,,,,,Yes
121,Sharayu,sharayu6018@gmail.com,,,,,,,,,,,Yes
122,Namrata Ghag,namrata_ghag94@yahoo.com,,,,,,,,,,,Yes
123,Soham Sheth,sohamsheth1995@gmail.com,,,,,,,,,,,Yes
124,Rishab,rishabmalik121@gmail.com,,,,,,,,,,,Yes
125,Tejas Munot,tejasmunot94@gmail.com,,,,,,,,,,,Yes
126,Rahul Motan,rahulmotan01@gmail.com,,,,,,,,,,,Yes
127,Dhrumil Sanjay Shah,dhrumil2494@gmail.com,,,,,,,,,,,Yes
128,Sangeetha Chandrashekar ,sangeethac2505@gmail.com,,,,,,,,,,,Yes
129,Krrish Mittal,krrishmittal15@gmail.com,,,,,,,,,,,Yes
130,Kartik Dave,davekartik24@gmail.com,,,,,,,,,,,Yes
131,Jhansi Nair ,jhansinair@gmail.com,,,,,,,,,,,Yes
132,Soumyadeep sinha,soumyadeep.sinha2011@gmail.com,,,,,,,,,,,Yes
133,Hardik Shah,shardik95@gmail.com,,,,,,,,,,,Yes
134,Sanjana Panicker,sanjanapanicker12@gmail.com,,,,,,,,,,,Yes
135,Neha,neha91192@gmail.com,,,,,,,,,,,Yes
136,Vishal Shah,mscivilvishalshah@gmail.com,,,,,,,,,,,Yes
137,Aashish Thyagarajan,aashish.thyagarajan@gmail.com,,,,,,,,,,,Yes
138,Tejas Parab,tejasparab890@gmail.com,,,,,,,,,,,Yes
139,Rishi Chopra,rishi.chopra25@gmail.com,,,,,,,,,,,Yes
140,Bhargavi Nilesh Padhya,pbhargavi65@gmail.com,,,,,,,,,,,Yes
141,keval shah,kevalshah10694@gmail.com,,,,,,,,,,,Yes
142,Akhilesh Hegde I,akhil.d26@gmail.com,,,,,,,,,,,Yes
143,Utkarsha Ganla,ganla.utkarsha@gmail.com,,,,,,,,,,,Yes
144,Kousthubh B S,kousthub93@gmail.com,,,,,,,,,,,Yes
145,Vikas Gupta,vikas.gupta@ves.ac.in,,,,,,,,,,,Yes
146,Rachna Reddy Melacheruvu,rachna_reddy93@yahoo.in,,,,,,,,,,,Yes
147,Suhasini Murali,suhamurali93@gmail.com,,,,,,,,,,,Yes
148,Shashwat Shetty,shashwat.j.shetty@gmail.com,,,,,,,,,,,Yes
149,Akshdeep Rungta,akshdeep.r@gmail.com,,,,,,,,,,,Yes
150,Varsha Rao,varsharaom@gmail.com,,,,,,,,,,,Yes
151,Vishal surya madhavan ,mavishalsurya@yahoo.in,,,,,,,,,,,Yes
152,Sumedh Kulkarni,sumedhkulkarni7@gmail.com,,,,,,,,,,,Yes
153,Mansi kulkarni,mansi.kulkarni29@gmail.com,,,,,,,,,,,Yes
154,Manish Patil,manishpatilandroid@gmail.com,,,,,,,,,,,Yes
155,Anvi Modi,modianvi@gmail.com,,,,,,,,,,,Yes
156,Ashwini Giri,ashwinigiri06@gmail.com,,,,,,,,,,,Yes
157,Nishchay Shah,work.nishchayshah@gmail.com,,,,,,,,,,,Yes
158,Harita Prakash,haritaprakash16@gmail.com,,,,,,,,,,,Yes
159,Gaurav Raj Chattarki ,gaurav.chattarki@gmail.com,,,,,,,,,,,Yes
160,Deep Mehta ,deep.mehta29492@gmail.com,,,,,,,,,,,Yes
161,Kunal Patil,kspatil007@gmail.com,,,,,,,,,,,Yes
162,Ram Prakash,ramprakash.94@gmail.com,,,,,,,,,,,Yes
163,Kashif Bagdadi,bagdadi_kashif@yahoo.co.in,,,,,,,,,,,Yes
164,Kumar Ritesh Ranjan Sinha ,kritesh.nie@gmail.com,,,,,,,,,,,Yes
165,Harsh Rajesh Patel,harshrp2511@gmail.com,,,,,,,,,,,Yes
166,Harsh Rajesh Patel,harshrp2511@gmail.com,,,,,,,,,,,Yes
167,Sanket Kolte,koltesanket1@gmail.com,,,,,,,,,,,Yes
168,Mitisha Ganesha Dodderi,mitisha6@gmail.com,,,,,,,,,,,Yes
169,Varun Himmatramka,mail.varun09@gmail.com,,,,,,,,,,,Yes
170,Rohan Taori,rohsan7@gmail.com,,,,,,,,,,,Yes
171,Swagath V C,swagathdeepu@gmail.com,,,,,,,,,,,Yes
172,Vignesh Raghuraman,vigneshiyer1991@gmail.com,,,,,,,,,,,Yes
173,Krupashankar Sundararajan ,krups057@gmail.com,,,,,,,,,,,Yes
174,Himanshu Saraswat,himanshu.saraswat01@gmail.com,,,,,,,,,,,Yes
175,Ashish Singhal,ashishsinghal1995@gmail.com,,,,,,,,,,,Yes
176,Gaurang Davda,gaurangdavda@yaboo.in,,,,,,,,,,,Yes
177,Venkataramanan BJ,venkataramananbj@gmail.com,,,,,,,,,,,Yes
178,Pratyaksh Gautam ,gautampratyaksh@gmail.com,,,,,,,,,,,Yes
179,Ashmeet Singh Pahwa,ashmeet.pahwa7@gmail.com,,,,,,,,,,,Yes
180,Murtaza Haji,murtazahaji2@gmail.com,,,,,,,,,,,Yes
181,Adwait Joshi,advaitjoshi27@gmail.com,,,,,,,,,,,Yes
182,Aatish Shah,aatish333@gmail.com,,,,,,,,,,,Yes
183,Suyash Narkhede,suyashnarkhede@gmail.com,,,,,,,,,,,Yes
184,Aniruddha K,aniruddha11me010@gmail.com,,,,,,,,,,,Yes
185,Namratha R N,namratha.nagendra.rao@gmail.com,,,,,,,,,,,Yes
186,Sthitapradyna ,rasalkar.s@husky.neu.edu,,,,,,,,,,,Yes
187,Rahul Zore,rahulzzore@gmail.com,,,,,,,,,,,Yes
188,Anuj Kapur,kapur.anu@husky.neu.edu,,,,,,,,,,,Yes
189,Abhilash Ajjan,ajjanabhilash@gmail.com,,,,,,,,,,,Yes
190,Karishma Lad,karishmalad19@gmail.com,,,,,,,,,,,Yes
191,Aditya Joshi,aditya11.joshi@gmail.com,,,,,,,,,,,Yes
192,Shubhi Sharma,shubhi04@gmail.com,,,,,,,,,,,Yes
193,Dharit,dharits3@gmail.com,,,,,,,,,,,Yes
194,Jai Soni,jaisoni@live.com,,,,,,,,,,,Yes
195,Shiv Desai,shiv.desai95@gmail.com,,,,,,,,,,,Yes
196,Ronak Shah,shahronakgre@gmail.com,,,,,,,,,,,Yes
197,Siddharth Dhar,siddharthdhar1995@gmail.com,,,,,,,,,,,Yes
198,Javed Nihaz Z ,javed.nihaz@gmail.com,,,,,,,,,,,Yes
199,Rahil Shah,rahilshah10@gmail.com,,,,,,,,,,,Yes
200,Srikant Swamy,sknt888@yahoo.com,,,,,,,,,,,Yes
201,Karan barai,karanbarai69@gmail.com,,,,,,,,,,,Yes
202,Vignesh Murali,vignesh.switchfoot@msn.com,,,,,,,,,,,Yes
203,Aditya Masurkar,adityamasurkar26@gmail.com,,,,,,,,,,,Yes
204,Darshan,sanghavi.darshan24@gmail.com,,,,,,,,,,,Yes
205,Gideon Pinto,gideonpinto123@gmail.com,,,,,,,,,,,Yes
206,Tushar Gupta,tushar_1907@hotmail.com,,,,,,,,,,,Yes
207,Jigar Dedhia,j.dedhia94@gmail.com,,,,,,,,,,,Yes
208,Neel Lele,neellele95@gmail.com,,,,,,,,,,,Yes
209,Gauri Yadav,gauriforeveryoung@gmail.com,,,,,,,,,,,Yes
210,Gauri Prakash Chavan ,chavan.gauri05@gmail.com,,,,,,,,,,,Yes
211,Shantanu Deosthale,sdeosthale.006@gmail.com,,,,,,,,,,,Yes
212,Dharit shah,dharits3@gmail.com,,,,,,,,,,,Yes
213,Shruti Parpattedar,shruti1605@yahoo.co.in,,,,,,,,,,,Yes
214,Mohit Arya,moharya@gmail.com,,,,,,,,,,,Yes
215,Abhishek Gharal,abhishekgharal@gmail.com,,,,,,,,,,,Yes
216,Divya Priya Emmanuel,divyapriya1010@gmail.com,,,,,,,,,,,Yes
217,Rahul Sinha,rahul.ksinha24@gmail.com,,,,,,,,,,,Yes
218,Harshith Gowli Chandrakumar,harshithgc@gmail.com,,,,,,,,,,,Yes
219,Mayur Tarmale,m.tarmale@gmail.com,,,,,,,,,,,Yes
220,Varun V Murthy,varun.vmurthy@gmail.com,,,,,,,,,,,Yes
221,LIKHIT MAHADEVASWAMY,likhitm.1010@gmail.com,,,,,,,,,,,Yes
222,Reuben Mathew Philip,philip.r@husky.neu.edu,,,,,,,,,,,Yes
223,Nitin Prince,nitin.prince.r@gmail.com,,,,,,,,,,,Yes
224,Shreyansh Singh,shreyanshissingh@gmail.com,,,,,,,,,,,Yes
225,Pratik Parija,pratik.parija@gmail.com,,,,,,,,,,,Yes
226,Mansi Jain,mansijain2895@gmail.com,,,,,,,,,,,Yes
227,Amish Garhwal,amish132@gmail.com,,,,,,,,,,,Yes
228,Krunal Nanda,nandakrunal@gmail.com,,,,,,,,,,,Yes
229,Hasher Hamza,hasher94.mec@gmail.com,,,,,,,,,,,Yes
230,Aeshna kapoor,aeshna.kapoor8998@gmail.com,,,,,,,,,,,Yes
231,Rishi Nandedkar,rishi.nandedkar93@gmail.com,,,,,,,,,,,Yes
232,Ayush Gupta,ayush_61@ymail.com,,,,,,,,,,,Yes
233,Nidhi Sarode Pundareeka,nidhisarode1995@gmail.com,,,,,,,,,,,Yes
234,Shardul Wagh,shardulwagh08@gmail.com,,,,,,,,,,,Yes
235,Anshit Srivastava,srivastava.ans@husky.neu.edu,,,,,,,,,,,Yes
236,Deekshitha V,deekshitha1701@gmail.com,,,,,,,,,,,Yes
237,Hardik Jain,hardikbsjain@gmail.com,,,,,,,,,,,Yes
238,Ankush Deora,ankushdeora@gmail.com,,,,,,,,,,,Yes
239,Ivan Roger Victor Fernando,ivan.rfernando@gmail.com,,,,,,,,,,,Yes
240,Amey Dongre,amey.d19@gmail.com,,,,,,,,,,,Yes
241,Shreyanth Reddy,shreyreddy92@gmail.com,,,,,,,,,,,Yes
242,Ojas Phansekar,ophansekar93@gmail.com,,,,,,,,,,,Yes
243,Ajinkya Kunjir,ajinkyakunjir16@gmail.com,,,,,,,,,,,Yes
244,Bhavik Shah,bshah267@gmail.com,,,,,,,,,,,Yes
245,Ankita Mhatre,anktmhatre@gmail.com,,,,,,,,,,,Yes
246,K Aravind,karavindkumar1993@gmail.com,,,,,,,,,,,Yes
247,Syed Meesam,syedmeesam85@gmail.com,,,,,,,,,,,Yes
248,Danish Siddiqui,danish9412@gmail.com,,,,,,,,,,,Yes
249,Pooja Alone,psalone17@gmail.com,,,,,,,,,,,Yes
250,Meghana,meghana.cse11@gmail.com,,,,,,,,,,,Yes
251,Viveck Dhanwani,dhanwaniviveck@gmail.com,,,,,,,,,,,Yes
252,Vaishnavi Hire,hvaishnavi18@gmail.com,,,,,,,,,,,Yes
253,Vlasios Lampiris,vlasioslampiris@gmail.com,,,,,,,,,,,Yes
254,Suyog Sunil Sathe,suyogsathe7@gmail.com,,,,,,,,,,,Yes
255,Nikitha gandra,nikithagandra@gmail.com,,,,,,,,,,,Yes
256,Hitesh Garani,hiteshgarani08@gmail.com,,,,,,,,,,,Yes
257,Viral D Patel,viralpatel00731@gmail.com,,,,,,,,,,,Yes
258,Tejas Salian,tejassalian@gmail.com,,,,,,,,,,,Yes
259,Kartikey Dave,kartikeydave94@gmail.com,,,,,,,,,,,Yes
260,Vyas abhi,ahvyas23@gmail.com,,,,,,,,,,,Yes
261,Harshvardhan poddar,harsha.poddar@yahoo.com,,,,,,,,,,,Yes
262,Yash Khopkar,yashkhopkar@gmail.com,,,,,,,,,,,Yes
263,Bhavika Bagaria ,bhavika.bagaria@gmail.com,,,,,,,,,,,Yes
264,Brijesh Hirani,hirani.brijesh@gmail.com,,,,,,,,,,,Yes
265,Sanket Navalakha,ssnavalakha@gmail.com,,,,,,,,,,,Yes
266,Rishika Sinha,rishika.sinha8@gmail.com,,,,,,,,,,,Yes
267,Nupur Jain,college.nupur@gmail.com,,,,,,,,,,,Yes
268,Vishwambhar,kulkarnivishwambhar@gmail.com,,,,,,,,,,,Yes
269,Neel Patel,patelneel1195@gmail.com,,,,,,,,,,,Yes
270,Gaurav Raj Chattarki ,gaurav.chattarki@gmail.com,,,,,,,,,,,Yes
271,suyash lokhande,suyashlokhande@gmail.com,,,,,,,,,,,Yes
272,Anuja Waikar,anuwaikar03@gmail.com,,,,,,,,,,,Yes
273,Mohit Baser,baserrmohit@gmail.com,,,,,,,,,,,Yes
274,Akash Piyush Parikh,aparikh53@gmail.com,,,,,,,,,,,Yes
275,Aditya Modi,adityamodi46.nmims@gmail.com,,,,,,,,,,,Yes
276,Parth Pandya,ibands77@gmail.com,,,,,,,,,,,Yes
277,Renuka Koranne,renukakoranne@gmail.com,,,,,,,,,,,Yes
278,Anupriya,anupriya.adp@gmail.com,,,,,,,,,,,Yes
279,Pallavi,pkashyapp91@gmail.com,,,,,,,,,,,Yes
280,Vikram Ramesh,vikram.bharadwajr@gmail.com,,,,,,,,,,,Yes
281,Harsh Bansal,harshbansal1993@gmail.com,,,,,,,,,,,Yes
282,Sakshi Tonwer,sakshitonwer04@gmail.com,,,,,,,,,,,Yes
283,Rohan Naik,naik.rohan2311@gmail.com,,,,,,,,,,,Yes
284,Vignesh Pradeepkumar,vignesh.pkumar95@gmail.com,,,,,,,,,,,Yes
285,Nityashree V,nityashree.s21@gmail.com,,,,,,,,,,,Yes
286,Clarence D'Silva,clarencedsilva24@gmail.com,,,,,,,,,,,Yes
287,akash gund,akashgund13@gmail.com,,,,,,,,,,,Yes
288,Prathamesh Tari,prathameshtari04@gmail.com,,,,,,,,,,,Yes
289,Samkit Kamdar,samkitkamdar@gmail.com,,,,,,,,,,,Yes
290,Shruti Puthran,shrutiputhran12@gmail.com,,,,,,,,,,,Yes
291,Mohit Ruke,mruke94@gmail.com,,,,,,,,,,,Yes
292,JIMIT Lakhani,jimitlakhani161@gmail.com,,,,,,,,,,,Yes
293,Manasa Bhimaraya Singhekar,manasasinghekar@gmail.com,,,,,,,,,,,Yes
294,Vijay R,r.vijayragavan63@gmail.com,,,,,,,,,,,Yes
295,Manikantha Dronamraju,manikantha92@gmail.com,,,,,,,,,,,Yes
296,jhalak gupta,contactjhalak@gmail.com,,,,,,,,,,,Yes
297,pratik jain,pjain802@gmail.com,,,,,,,,,,,Yes
298,Amit Ghule,ghuleamitr@gmail.com,,,,,,,,,,,Yes
299,Sai Praneeth Macherla,praneethmacherla@gmail.com,,,,,,,,,,,Yes
300,Swaraj Shrikant Oturkar,swarajoturkar1995@gmail.com,,,,,,,,,,,Yes
301,Neha Varshney,nehavarshney8@gmail.com,,,,,,,,,,,Yes
302,Mitul Pala,mitulpala@gmail.com,,,,,,,,,,,Yes
303,Neha Bhagwat,neha.bhagwat94@gmail.com,,,,,,,,,,,Yes
304,Shubham Agrawal,shubham.agarawal95@gmail.com,,,,,,,,,,,Yes
305,Rutuja Pai,rrutuja.pai@gmail.com,,,,,,,,,,,Yes
306,MOHAMED NADEEM AMEERDEEN,nadeemceg@gmail.com,,,,,,,,,,,Yes
307,Asif Jan,asifjan1987@gmail.com,,,,,,,,,,,Yes
308,Lavanya Verma,lavanya.heretic@gmail.com,,,,,,,,,,,Yes
309,Rohith Nagabhyrava,rohithnagabhirava@gmail.com,,,,,,,,,,,Yes
310,Rishi Raj Dutta,rishiraj.dutta3@yahoo.com,,,,,,,,,,,Yes
311,Shruti Kotian,shrutidkotian@gmail.com,,,,,,,,,,,Yes
312,Shamik Shashank Gaitonde,shamik.gaitonde@gmail.com,,,,,,,,,,,Yes
313,Sandesh Agrawal,sandesh.agrawal.1994@gmail.com,,,,,,,,,,,Yes
314,Bhavesh Chouksey,bhavesh9597chouksey@gmail.com,,,,,,,,,,,Yes
315,Ekta Sirwani,ekta.sirwani@gmail.com,,,,,,,,,,,Yes
316,Shweta Oak,oakshweta11@gmail.com,,,,,,,,,,,Yes
317,VARUN PASARI,varunpasari@yahoo.co.in,,,,,,,,,,,Yes
318,Sheela Sathyanrayana,sheelasathyanarayana@deloitte.com,,,,,,,,,,,Yes
319,Rahul Ramanand Bhat,rahulbhat1203@yahoo.in,,,,,,,,,,,Yes
320,Hitesh verma,hitzver@gmail.com,,,,,,,,,,,Yes
321,Kaustubh Shinde,kaustubhsshinde@gmail.com,,,,,,,,,,,Yes
322,Agrima Saraf ,agrimasaraf.runu@hotmail.com,,,,,,,,,,,Yes
323,Omair Shafi Ahmed,omai.r@me.com,,,,,,,,,,,Yes
324,Rishabh Jain,rishjain15@gmail.com,,,,,,,,,,,Yes
325,Nilank Sharma,sharmanilank@gmail.com,,,,,,,,,,,Yes
326,Sreerag Sreenath,sreeragsreenath@gmail.com,,,,,,,,,,,Yes
327,Mitul Shah,mitulshah95@gmail.com,,,,,,,,,,,Yes
328,Harshit Gupta,harshit.g21@gmail.com,,,,,,,,,,,Yes
329,Nupur Deshpande,nupurdeshpande11@gmail.com,,,,,,,,,,,Yes
330,Khilan Munshi,munshikhilan@gmail.com,,,,,,,,,,,Yes
331,Harman Preet Singh,harmanfiles@gmail.com,,,,,,,,,,,Yes
332,Markala Manvita,markalamanvitareddy@gmail.com,,,,,,,,,,,Yes
333,Krishnaswaroop Bykadi,ksbykadi@gmail.com,,,,,,,,,,,Yes
334,Ankush,ankushvenkatesh666@gmail.com,,,,,,,,,,,Yes
335,Tanvi Sharma,tanvisharma0595@gmail.com,,,,,,,,,,,Yes
336,Akhil Dilip Rane,akhil131192@gmail.com,,,,,,,,,,,Yes
337,Vishesh Hemnani,visheshhemnani@gmail.com,,,,,,,,,,,Yes
338,Nikhil Upadhyaya,nikhilupadhyayan@gmail.com,,,,,,,,,,,Yes
339,Chaitya Shah,shah.cha@husky.neu.edu,,,,,,,,,,,Yes
340,Anindita Maiti,aninditamaiti1992@gmail.com,,,,,,,,,,,Yes
341,Ashutosh Mahala,mahalaashutosh@live.com,,,,,,,,,,,Yes
342,Bhushan Mohite,bhushan29.mohite@gmail.com,,,,,,,,,,,Yes
343,Romil Rathi ,rathiromil13@gmail.com,,,,,,,,,,,Yes
344,Darshil Doshi,darshildoshi95@gmail.com,,,,,,,,,,,Yes
